sample,cram_path,fastq_prefix,sample_supplier_name,library_type,num_reads_processed,total_reads,r1len,r2len,i1len,i2len
ThDefineAImm12935575,/seq/illumina/runs/45/45292/plex3/45292#3.cram,ThDefineAImm12935575_S1_L001,411C_SPL_t-0_US_1,Chromium single cell TCR,244251210,244251210,28,90,10,10
ThDefineAImm12935575,/seq/illumina/runs/47/47673/plex10/47673#10.cram,ThDefineAImm12935575_S1_L002,411C_SPL_t-0_US_1,Chromium single cell 5 prime,830093158,830093158,89,41,10,10
ThDefineAImm12935575,/seq/illumina/runs/45/45292/plex10/45292#10.cram,ThDefineAImm12935575_S2_L001,411C_SPL_t-0_US_1,Chromium single cell 5 prime,3123015728,3123015728,28,90,10,10
UK-CIC10690382,/seq/illumina/runs/40/40608/plex69/40608#69.cram,UK-CIC10690382_S1_L001,Pool_19.2_A,Chromium single cell 5 prime,290847698,290847698,28,90,10,10
UK-CIC10690382,/seq/illumina/runs/40/40611/plex69/40611#69.cram,UK-CIC10690382_S1_L002,Pool_19.2_A,Chromium single cell 5 prime,291112562,291112562,28,90,10,10
UK-CIC10690382,/seq/illumina/runs/40/40617/lane1/plex69/40617_1#69.cram,UK-CIC10690382_S1_L003,Pool_19.2_A,Chromium single cell 5 prime,78031216,78031216,28,90,10,10
UK-CIC10690382,/seq/illumina/runs/40/40617/lane2/plex69/40617_2#69.cram,UK-CIC10690382_S1_L004,Pool_19.2_A,Chromium single cell 5 prime,77226784,77226784,28,90,10,10
UK-CIC10690382,/seq/illumina/runs/40/40754/lane1/plex69/40754_1#69.cram,UK-CIC10690382_S1_L005,Pool_19.2_A,Chromium single cell TCR,91010764,91010764,28,90,10,10
UK-CIC10690382,/seq/illumina/runs/40/40812/lane1/plex68/40812_1#68.cram,UK-CIC10690382_S1_L006,Pool_19.2_A,Chromium single cell BCR,59682056,59682056,28,90,10,10
UK-CIC10690383,/seq/illumina/runs/40/40608/plex70/40608#70.cram,UK-CIC10690383_S1_L001,Pool_19.3_A,Chromium single cell 5 prime,295817814,295817814,28,90,10,10
UK-CIC10690383,/seq/illumina/runs/40/40611/plex70/40611#70.cram,UK-CIC10690383_S1_L002,Pool_19.3_A,Chromium single cell 5 prime,296161770,296161770,28,90,10,10
UK-CIC10690383,/seq/illumina/runs/40/40617/lane1/plex70/40617_1#70.cram,UK-CIC10690383_S1_L003,Pool_19.3_A,Chromium single cell 5 prime,77778862,77778862,28,90,10,10
UK-CIC10690383,/seq/illumina/runs/40/40617/lane2/plex70/40617_2#70.cram,UK-CIC10690383_S1_L004,Pool_19.3_A,Chromium single cell 5 prime,77249554,77249554,28,90,10,10
UK-CIC10690383,/seq/illumina/runs/40/40754/lane1/plex70/40754_1#70.cram,UK-CIC10690383_S1_L005,Pool_19.3_A,Chromium single cell TCR,79307774,79307774,28,90,10,10
UK-CIC10690383,/seq/illumina/runs/40/40812/lane1/plex69/40812_1#69.cram,UK-CIC10690383_S1_L006,Pool_19.3_A,Chromium single cell BCR,83356130,83356130,28,90,10,10
